"Notes","County of Residence","County of Residence Code",Births,Total Population,Birth Rate
,"Unidentified Counties, CO","08999",8103,887576,9.13
,"Fairfield County, CT","09001",10053,Not Available,Not Available
,"Hartford County, CT","09003",8780,Not Available,Not Available
,"Litchfield County, CT","09005",1430,Not Available,Not Available
,"Middlesex County, CT","09007",1361,Not Available,Not Available
,"New Haven County, CT","09009",8366,Not Available,Not Available
,"New London County, CT","09011",2466,Not Available,Not Available
,"Tolland County, CT","09013",1154,Not Available,Not Available
,"Windham County, CT","09015",989,Not Available,Not Available
,"Kent County, DE","10001",2064,192690,10.71
,"New Castle County, DE","10003",6025,588093,10.24
,"Sussex County, DE","10005",2461,271134,9.08
,"District of Columbia, DC","11001",7616,702250,10.85
,"Alachua County, FL","12001",2561,291782,8.78
,"Bay County, FL","12005",2231,199718,11.17
,"Brevard County, FL","12009",5471,658447,8.31
,"Broward County, FL","12011",20124,2037472,9.88
,"Charlotte County, FL","12015",1207,212122,5.69
,"Citrus County, FL","12017",1046,170174,6.15
,"Clay County, FL","12019",2302,236760,9.72
,"Collier County, FL","12021",3495,416233,8.40
,"Duval County, FL","12031",12896,1055159,12.22
,"Escambia County, FL","12033",3707,331275,11.19
,"Hernando County, FL","12053",1871,218150,8.58
,"Hillsborough County, FL","12057",17128,1581426,10.83
,"Indian River County, FL","12061",1233,172139,7.16
,"Lake County, FL","12069",3881,444204,8.74
,"Lee County, FL","12071",8145,860959,9.46
,"Leon County, FL","12073",2738,300488,9.11
,"Manatee County, FL","12081",4261,458352,9.30
,"Marion County, FL","12083",3946,428905,9.20
,"Martin County, FL","12085",1361,165666,8.22
,"Miami-Dade County, FL","12086",28150,2838461,9.92
,"Okaloosa County, FL","12091",2658,220483,12.06
,"Orange County, FL","12095",16432,1533646,10.71
,"Osceola County, FL","12097",5123,468058,10.95
,"Palm Beach County, FL","12099",14927,1582055,9.44
,"Pasco County, FL","12101",6256,659114,9.49
,"Pinellas County, FL","12103",7012,965870,7.26
,"Polk County, FL","12105",9470,852878,11.10
,"St. Johns County, FL","12109",2641,334928,7.89
,"St. Lucie County, FL","12111",3894,390670,9.97
,"Santa Rosa County, FL","12113",1993,207653,9.60
,"Sarasota County, FL","12115",3192,476604,6.70
,"Seminole County, FL","12117",4390,494605,8.88
,"Volusia County, FL","12127",5084,602772,8.43
,"Unidentified Counties, FL","12999",13563,1504987,9.01
,"Bartow County, GA","13015",1501,117508,12.77
,"Bibb County, GA","13021",2010,157056,12.80
,"Carroll County, GA","13045",1575,129911,12.12
,"Chatham County, GA","13051",3687,307336,12.00
,"Cherokee County, GA","13057",3195,293513,10.89
,"Clarke County, GA","13059",1309,129995,10.07
,"Clayton County, GA","13063",3162,297703,10.62
,"Cobb County, GA","13067",8771,787538,11.14
,"Columbia County, GA","13073",1643,167472,9.81
,"Coweta County, GA","13077",1759,158233,11.12
,"DeKalb County, GA","13089",9452,770307,12.27
,"Douglas County, GA","13097",1652,151887,10.88
,"Fayette County, GA","13113",923,125107,7.38
,"Forsyth County, GA","13117",2366,280096,8.45
,"Fulton County, GA","13121",12311,1090354,11.29
,"Gwinnett County, GA","13135",11268,1003869,11.22
,"Hall County, GA","13139",3087,221745,13.92
,"Henry County, GA","13151",2845,259315,10.97
,"Houston County, GA","13153",1979,174897,11.32
,"Lowndes County, GA","13185",1576,122082,12.91
,"Muscogee County, GA","13215",2538,201830,12.57
,"Paulding County, GA","13223",1852,188549,9.82
,"Richmond County, GA","13245",2733,206303,13.25
,"Whitfield County, GA","13313",1283,105070,12.21
,"Unidentified Counties, GA","13999",41960,3733202,11.24
,"Hawaii County, HI","15001",2097,209790,10.00
,"Honolulu County, HI","15003",10491,998747,10.50
,"Maui County, HI","15009",1590,163688,9.71
,"Unidentified Counties, HI","15999",739,73921,10.00
,"Ada County, ID","16001",5355,535799,9.99
,"Bonneville County, ID","16019",1884,133644,14.10
,"Canyon County, ID","16027",3586,266892,13.44
,"Kootenai County, ID","16055",2082,188323,11.06
,"Unidentified Counties, ID","16999",10369,876961,11.82
,"Champaign County, IL","17019",1909,212374,8.99
,"Cook County, IL","17031",51230,5182617,9.88
,"DeKalb County, IL","17037",1016,101335,10.03
,"DuPage County, IL","17043",9497,937142,10.13
,"Kane County, IL","17089",5470,520997,10.50
,"Kankakee County, IL","17091",1111,106410,10.44
,"Kendall County, IL","17093",1445,143171,10.09
,"Lake County, IL","17097",6503,718604,9.05
,"LaSalle County, IL","17099",1070,108390,9.87
,"McHenry County, IL","17111",3058,315959,9.68
,"McLean County, IL","17113",1568,172069,9.11
,"Macon County, IL","17115",1064,100737,10.56
,"Madison County, IL","17119",2470,263017,9.39
,"Peoria County, IL","17143",2088,179630,11.62
,"Rock Island County, IL","17161",1510,142731,10.58
,"St. Clair County, IL","17163",2449,251149,9.75
,"Sangamon County, IL","17167",1870,194345,9.62
,"Tazewell County, IL","17179",1228,129821,9.46
,"Will County, IL","17197",6744,708583,9.52
,"Winnebago County, IL","17201",3125,283790,11.01
,"Unidentified Counties, IL","17999",19306,1937287,9.97
,"Allen County, IN","18003",5276,399295,13.21
,"Clark County, IN","18019",1535,127479,12.04
,"Delaware County, IN","18035",1067,112951,9.45
,"Elkhart County, IN","18039",2801,207436,13.50
,"Hamilton County, IN","18057",4060,379704,10.69
,"Hendricks County, IN","18063",1916,190629,10.05
,"Johnson County, IN","18081",2009,170614,11.78
,"Lake County, IN","18089",4952,502955,9.85
,"La Porte County, IN","18091",1068,111348,9.59
,"Madison County, IN","18095",1455,134222,10.84
,"Marion County, IN","18097",14607,981628,14.88
,"Monroe County, IN","18105",1010,140702,7.18
,"Porter County, IN","18127",1600,175860,9.10
,"St. Joseph County, IN","18141",3102,273744,11.33
,"Tippecanoe County, IN","18157",1818,191650,9.49
,"Vanderburgh County, IN","18163",2148,180387,11.91
,"Vigo County, IN","18167",1093,106166,10.30
,"Unidentified Counties, IN","18999",28740,2537505,11.33
,"Black Hawk County, IA","19013",1530,132348,11.56
,"Johnson County, IA","19103",1614,160080,10.08
,"Linn County, IA","19113",2566,231762,11.07
,"Polk County, IA","19153",6577,516185,12.74
,"Scott County, IA","19163",1889,175601,10.76
,"Woodbury County, IA","19193",1403,107257,13.08
,"Unidentified Counties, IA","19999",20857,1918255,10.87
,"Douglas County, KS","20045",968,121989,7.94
,"Johnson County, KS","20091",6763,632276,10.70
,"Sedgwick County, KS","20173",6491,536081,12.11
,"Shawnee County, KS","20177",1921,177942,10.80
,"Wyandotte County, KS","20209",2323,169418,13.71
,"Unidentified Counties, KS","20999",15518,1332900,11.64
,"Boone County, KY","21015",1708,144135,11.85
,"Fayette County, KY","21067",3788,329437,11.50
,"Hardin County, KY","21093",1310,112826,11.61
,"Jefferson County, KY","21111",9866,793881,12.43
,"Kenton County, KY","21117",2221,174862,12.70
,"Warren County, KY","21227",1866,147936,12.61
,"Unidentified Counties, KY","21999",32154,2885295,11.14
,"Ascension Parish, LA","22005",1550,133534,11.61
,"Bossier Parish, LA","22015",1507,131102,11.49
,"Caddo Parish, LA","22017",2577,224893,11.46
,"Calcasieu Parish, LA","22019",2522,206861,12.19
,"East Baton Rouge Parish, LA","22033",5126,453022,11.32
,"Jefferson Parish, LA","22051",5033,427253,11.78
,"Lafayette Parish, LA","22055",3430,254241,13.49
,"Livingston Parish, LA","22063",1930,152886,12.62
,"Orleans Parish, LA","22071",3769,362701,10.39
,"Ouachita Parish, LA","22073",1887,157874,11.95
,"Rapides Parish, LA","22079",1533,125899,12.18
,"St. Tammany Parish, LA","22103",2695,277615,9.71
,"Tangipahoa Parish, LA","22105",1829,139823,13.08
,"Terrebonne Parish, LA","22109",1195,103864,11.51
,"Unidentified Counties, LA","22999",16722,1446172,11.56
,"Androscoggin County, ME","23001",1152,115272,9.99
,"Cumberland County, ME","23005",2672,313809,8.51
,"Kennebec County, ME","23011",1018,128461,7.92
,"Penobscot County, ME","23019",1309,156840,8.35
,"York County, ME","23031",1854,220143,8.42
,"Unidentified Counties, ME","23999",3596,470487,7.64
,"Anne Arundel County, MD","24003",6736,602350,11.18
,"Baltimore County, MD","24005",8906,852425,10.45
,"Carroll County, MD","24013",1663,177108,9.39
,"Cecil County, MD","24015",1123,106305,10.56
,"Charles County, MD","24017",1729,174478,9.91
,"Frederick County, MD","24021",3231,299317,10.79
,"Harford County, MD","24025",2490,265514,9.38
,"Howard County, MD","24027",3020,339668,8.89
,"Montgomery County, MD","24031",10948,1082273,10.12
,"Prince George's County, MD","24033",10406,966629,10.77
,"St. Mary's County, MD","24037",1337,116469,11.48
,"Washington County, MD","24043",1617,157228,10.28
,"Baltimore city, MD","24510",7014,568271,12.34
,"Unidentified Counties, MD","24999",5577,555185,10.05
,"Barnstable County, MA","25001",1472,232570,6.33
,"Berkshire County, MA","25003",861,128726,6.69
,"Bristol County, MA","25005",5708,588593,9.70
,"Essex County, MA","25009",8818,823938,10.70
,"Hampden County, MA","25013",4659,464151,10.04
,"Hampshire County, MA","25015",852,165399,5.15
,"Middlesex County, MA","25017",15984,1668956,9.58
,"Norfolk County, MA","25021",6881,740754,9.29
,"Plymouth County, MA","25023",5395,542090,9.95
,"Suffolk County, MA","25025",8281,793144,10.44
,"Worcester County, MA","25027",8514,881248,9.66
,"Unidentified Counties, MA","25999",759,106602,7.12
,"Allegan County, MI","26005",1219,122429,9.96
,"Bay County, MI","26017",890,102651,8.67
,"Berrien County, MI","26021",1467,152703,9.61
,"Calhoun County, MI","26025",1486,133785,11.11
,"Eaton County, MI","26045",945,109494,8.63
,"Genesee County, MI","26049",4113,402279,10.22
,"Ingham County, MI","26065",2774,290427,9.55
,"Jackson County, MI","26075",1509,160233,9.42
,"Kalamazoo County, MI","26077",2526,264780,9.54
,"Kent County, MI","26081",8014,673002,11.91
,"Livingston County, MI","26093",1771,196976,8.99
,"Macomb County, MI","26099",8514,886175,9.61
,"Monroe County, MI","26115",1469,156045,9.41
,"Muskegon County, MI","26121",1779,177428,10.03
,"Oakland County, MI","26125",12269,1296888,9.46
,"Ottawa County, MI","26139",3144,306235,10.27
,"Saginaw County, MI","26145",1819,187714,9.69
,"St. Clair County, MI","26147",1422,160308,8.87
,"Washtenaw County, MI","26161",2946,373875,7.88
,"Wayne County, MI","26163",19763,1771063,11.16
,"Unidentified Counties, MI","26999",19686,2215969,8.88
,"Anoka County, MN","27003",3944,376840,10.47
,"Dakota County, MN","27037",4758,453156,10.50
,"Hennepin County, MN","27053",14202,1273334,11.15
,"Olmsted County, MN","27109",1867,166424,11.22
,"Ramsey County, MN","27123",6266,542015,11.56
,"St. Louis County, MN","27137",1703,200794,8.48
,"Scott County, MN","27139",1671,157206,10.63
,"Stearns County, MN","27145",2002,163997,12.21
,"Washington County, MN","27163",2739,283960,9.65
,"Wright County, MN","27171",1889,154593,12.22
,"Unidentified Counties, MN","27999",21069,2020832,10.43
,"DeSoto County, MS","28033",2138,195871,10.92
,"Harrison County, MS","28047",2389,213730,11.18
